trip_scope,trip_type,min_budget,max_budget,group_type,travel_month,recommended_destination
Domestic,"Cultural,Beach,Relaxation",9602,29695,Solo,"October,November,March",Pondicherry
Domestic,Cultural,6972,19075,"Couple,Family",March,Mathura Vrindavan
Domestic,"Cultural,Nature,Adventure",8844,23720,"Friends,Couple",February,Hampi
International,Adventure,153826,389463,"Couple,Friends","January,July",Iceland
International,"Beach,Cultural,Adventure",59935,151142,Friends,"May,September",Morocco
International,Cultural,167815,369271,"Couple,Solo",July,Norway
International,Nature,40387,96920,Friends,"February,November",Cambodia
Domestic,Adventure,10794,25049,Solo,"September,April,May",Chopta
Domestic,Relaxation,9085,23399,Family,"September,December,February",Mysuru
International,Cultural,78507,215216,"Couple,Friends",January,Dubai
Domestic,"Cultural,Pilgrimage",9030,31019,Solo,"November,January",Varanasi
International,"Luxury,Beach,Relaxation",85107,247800,"Friends,Couple","June,May",Mauritius
Domestic,Cultural,15807,39977,Friends,January,Rann of Kutch
International,"Relaxation,Beach,Cultural",109412,268432,Couple,"August,July",Zanzibar
International,"Nature,Beach",148381,435834,"Friends,Couple",May,Seychelles
International,"Luxury,Nature",70115,192264,"Couple,Friends","February,March,April",Singapore
Domestic,"Adventure,Nature,Cultural",14675,36060,"Solo,Couple","April,May,October",Ziro Valley
Domestic,"Nature,Relaxation",10225,29311,Couple,"October,June,April",Ooty
Domestic,Cultural,7092,23760,Friends,November,Amritsar
International,"Adventure,Nature",156576,397466,Friends,August,Iceland
Domestic,"Adventure,Nature",11306,33656,"Couple,Friends",March,Shimla
Domestic,"Cultural,Pilgrimage",9103,29135,Couple,October,Varanasi
International,"Luxury,Beach,Relaxation",102338,299555,Couple,"November,December,March",Maldives
International,"Adventure,Wildlife",128241,294908,"Solo,Couple","April,August",Peru
Domestic,"Adventure,Luxury",17965,76888,Family,March,Rajasthan
Domestic,Cultural,18847,56424,"Couple,Family",October,Kerala
Domestic,"Wildlife,Nature,Adventure",14575,40433,Solo,"December,October",Sundarbans
International,"Beach,Luxury,Cultural",110597,275888,Friends,June,Greece
Domestic,"Nature,Adventure,Cultural",17765,50373,"Solo,Friends",September,Spiti Valley
Domestic,Nature,25297,64745,Friends,July,Ladakh
International,Adventure,19563,64470,Couple,"April,November,May",Nepal
Domestic,Nature,21579,50978,Couple,March,Auli
Domestic,"Relaxation,Nature",14437,41187,Couple,"February,September",Munnar
Domestic,Adventure,15707,41819,"Solo,Couple","January,October,March",Meghalaya
International,"Cultural,Adventure",87232,245660,"Solo,Family","December,January",Mexico
Domestic,"Nature,Cultural,Relaxation",19428,57565,Couple,December,Kerala
International,"Cultural,Adventure",37653,93319,"Couple,Friends","November,March",Cambodia
International,"Luxury,Cultural,Nature",108109,272399,Solo,"November,October,April",Japan
Domestic,Pilgrimage,10118,28181,"Couple,Friends",October,Rishikesh
International,"Beach,Adventure",150663,376029,"Couple,Friends","February,January",Costa Rica
Domestic,"Cultural,Pilgrimage",10704,29923,"Solo,Family",December,Varanasi
International,Adventure,175390,504869,Solo,"March,April",Australia
International,"Nature,Cultural,Adventure",53054,140385,Solo,"February,January,December",Philippines
Domestic,"Nature,Adventure,Relaxation",11169,37452,"Friends,Couple","November,December,January",Shimla
International,"Nature,Cultural",34033,90959,"Friends,Couple","November,December",Cambodia
Domestic,Cultural,8874,23604,Friends,"October,January,February",Mysuru
International,"Adventure,Nature",187310,418968,Solo,June,Iceland
International,Beach,158385,386008,"Friends,Couple",April,Seychelles
International,Luxury,101438,259169,Couple,November,Japan
International,"Cultural,Beach,Luxury",107285,289520,"Couple,Friends","May,June",Greece
International,"Wildlife,Adventure",150608,380115,"Couple,Family","July,August",Kenya
International,"Luxury,Cultural",149096,361552,"Couple,Solo","October,May,June",Paris
Domestic,"Adventure,Cultural,Nature",17025,48152,"Friends,Solo",July,Spiti Valley
International,"Adventure,Cultural,Nature",201418,434831,Couple,"September,July",Canada
Domestic,Adventure,21601,49943,Friends,"February,January",Auli
International,"Cultural,Adventure",102361,254439,Solo,"February,December,November",Mexico
International,"Luxury,Nature",96321,236322,"Couple,Friends","October,April",Japan
Domestic,"Nature,Beach,Adventure",32941,78070,"Family,Couple","January,October,November",Andaman Islands
Domestic,"Adventure,Beach,Relaxation",35927,81460,"Couple,Friends",April,Lakshadweep
International,Adventure,76280,194293,Friends,October,Turkey
International,"Cultural,Pilgrimage,Adventure",86144,188084,Couple,"January,October",Egypt
International,"Cultural,Nature,Adventure,Wildlife",131749,304775,Couple,July,Peru
Domestic,"Adventure,Nature",15325,40789,"Family,Friends","November,February,October",Coorg
Domestic,"Nature,Adventure,Cultural",16294,42970,Family,November,Rann of Kutch
International,Nature,200229,445663,Solo,"June,July,September",Canada
Domestic,"Nature,Adventure",15760,42775,"Couple,Family","February,December,November",Rann of Kutch
International,"Nature,Adventure",192271,428029,Friends,"December,January",Iceland
Domestic,Cultural,19787,87549,"Family,Friends","February,January,October",Rajasthan
Domestic,Nature,27700,67448,"Couple,Family","April,October",Andaman Islands
Domestic,"Cultural,Luxury",13644,50734,Couple,October,Jaipur
International,"Beach,Adventure,Cultural",62366,148457,Friends,"September,April",Morocco
International,"Cultural,Nature",183251,400665,Solo,November,Norway
Domestic,"Nature,Cultural,Adventure",17210,51374,"Friends,Solo",August,Spiti Valley
International,"Cultural,Relaxation,Beach",92276,263661,Friends,"October,August",Zanzibar
Domestic,Nature,20855,63226,"Family,Couple",November,Kerala
Domestic,"Cultural,Relaxation,Nature",17577,54647,"Solo,Couple",November,Kerala
International,"Adventure,Nature,Cultural",36664,90414,"Solo,Couple",February,Cambodia
International,"Nature,Wildlife,Adventure",168331,401293,Friends,"October,August,September",Tanzania
Domestic,Pilgrimage,10233,27216,"Friends,Solo",October,Chopta
International,"Beach,Cultural,Nature",58128,147402,"Solo,Friends","May,June",Indonesia
Domestic,"Relaxation,Cultural",9616,25755,Friends,"March,September,January",Mysuru
International,"Cultural,Luxury,Nature",61306,186938,"Couple,Family",April,Singapore
International,"Relaxation,Luxury",153776,352391,"Couple,Solo","May,September",Paris
Domestic,"Pilgrimage,Cultural",9935,30281,"Couple,Family","January,October,February",Varanasi
Domestic,"Nature,Cultural",26622,58744,"Solo,Couple","August,September",Ladakh
International,"Pilgrimage,Adventure",93682,196841,"Couple,Solo","November,September",Jordan
International,"Wildlife,Nature,Adventure",152690,353867,"Friends,Couple","October,June,September",Kenya
International,"Cultural,Beach,Nature",115939,280673,Couple,"September,June,April",Italy
Domestic,"Nature,Wildlife",18603,58391,"Friends,Solo","March,December,January",Kaziranga
International,"Cultural,Nature",219065,520871,"Friends,Solo","March,April,May",Australia
International,"Relaxation,Cultural,Adventure,Beach",44156,119868,"Family,Solo",November,Thailand
International,Relaxation,62707,155503,Friends,"August,July,May",Bali
Domestic,Beach,34387,90506,"Friends,Couple","February,March,January",Lakshadweep
Domestic,"Nature,Adventure,Pilgrimage",10363,24755,"Solo,Friends","May,June",Chopta
International,"Beach,Luxury",95242,233324,"Family,Solo","September,June,April",Spain
International,"Nature,Beach",110978,273208,Couple,May,Italy
International,"Nature,Luxury,Cultural",88633,248767,Solo,November,Japan
Domestic,"Nature,Adventure,Wildlife",13001,35780,Family,"February,December,November",Sundarbans
International,"Cultural,Nature",126746,320133,Couple,September,Peru
Domestic,"Cultural,Relaxation",8829,23886,"Family,Couple",December,Mysuru
International,"Beach,Luxury",89892,228026,Couple,"August,May,June",Mauritius
Domestic,Pilgrimage,10856,30349,"Couple,Solo","September,November,February",Rishikesh
International,"Nature,Adventure,Wildlife",166408,404935,Family,September,Tanzania
International,"Adventure,Beach",212201,512522,Couple,October,Australia
International,"Cultural,Beach,Relaxation,Luxury",104243,236501,"Couple,Solo","April,October",Spain
International,Adventure,78266,192597,"Friends,Solo","January,October,February",Egypt
Domestic,Beach,26092,70800,"Family,Couple",November,Andaman Islands
International,Nature,74367,190736,Couple,"February,August,July",Singapore
Domestic,Pilgrimage,8934,27309,"Couple,Family",November,Varanasi
International,"Nature,Adventure",191557,432237,"Couple,Friends",March,New Zealand
Domestic,"Adventure,Pilgrimage",10322,27379,"Friends,Solo",May,Chopta
International,"Beach,Cultural,Relaxation,Adventure",92934,237578,"Couple,Solo",March,Mexico
Domestic,Relaxation,10364,26032,"Friends,Family","November,September",Mysuru
International,Beach,92455,286996,"Friends,Couple",November,Maldives
International,"Cultural,Luxury",65867,165158,Couple,"August,February,March",Singapore
International,Adventure,38427,98083,"Solo,Friends","September,April,August",Vietnam
Domestic,"Cultural,Adventure",25141,61002,"Friends,Solo",August,Ladakh
Domestic,"Relaxation,Cultural,Beach",15979,48816,"Friends,Solo","February,November,March",Goa
Domestic,"Cultural,Adventure,Nature",13555,32490,"Couple,Friends",May,Ziro Valley
Domestic,"Nature,Relaxation",8651,28030,Friends,"November,June",Ooty
International,"Nature,Adventure",164242,369669,"Family,Couple","September,July",Kenya
International,"Luxury,Nature,Cultural,Beach",142100,307089,Friends,May,Italy
Domestic,Relaxation,8579,23612,"Friends,Family","September,March,December",Mysuru
International,"Relaxation,Luxury,Cultural",129751,350441,"Solo,Couple","April,May",Paris
International,Luxury,141740,389152,"Friends,Family",July,Switzerland
International,Pilgrimage,80972,187215,Family,January,Egypt
Domestic,"Nature,Adventure,Relaxation",13855,39514,"Friends,Family","January,February",Coorg
International,"Wildlife,Adventure,Cultural,Beach",191902,511293,Family,"September,March,November",Australia
International,"Cultural,Adventure,Beach",80113,193734,Family,"May,September",Turkey
Domestic,"Relaxation,Cultural",21980,58712,Couple,"January,February",Kerala
Domestic,"Nature,Adventure",16281,44893,Couple,February,Meghalaya
Domestic,Adventure,13443,41477,"Solo,Couple","December,October,January",Meghalaya
International,Cultural,68954,160867,"Friends,Couple","December,February",Egypt
International,"Nature,Cultural",49500,129627,"Couple,Family",December,Malaysia
Domestic,"Cultural,Adventure,Nature",22384,59005,Solo,"September,July",Ladakh
International,"Nature,Adventure",36292,102816,Solo,"March,April,February",Vietnam
International,Cultural,94239,240098,"Friends,Family","November,April",Mexico
International,"Adventure,Cultural,Wildlife,Beach",129656,287031,Couple,"September,June,October",South Africa
International,"Nature,Adventure,Beach,Cultural",62017,164008,Friends,August,Indonesia
International,Cultural,38716,101719,"Friends,Family",January,Sri Lanka
International,Adventure,74278,182380,Family,"March,December",Egypt
International,Cultural,107149,263773,Family,May,Spain
Domestic,Relaxation,10319,24654,Family,"December,January,October",Mysuru
Domestic,"Cultural,Nature,Adventure",20349,51331,Solo,June,Spiti Valley
Domestic,"Pilgrimage,Cultural",8645,22291,Family,"March,February",Mathura Vrindavan
International,Beach,68980,189488,Friends,"September,May,April",Turkey
Domestic,Adventure,16460,42959,Friends,"January,December",Manali
International,"Nature,Adventure",139399,345920,"Solo,Couple",December,Costa Rica
